code_insee,population,P15_POP,croissance_pop,dep,nb_banques_classiques,nb_services_financiers,nb_equipements_eco,nb_equipements_services,revenu_median,commune,densite_equip_eco,densite_equip_ser,densite_banques,densite_services_fin,pop_norm,eco_norm,ser_norm,bank_norm,revenu_norm,croissance_norm,score_potentiel,score_saturation,score_final,rang_score,potentiel,CLUSTER,cluster_label
43051,2400,2521,-4.799682666,43,0,3,111,52,21030,Le Chambon-sur-Lignon,46.25,21.666666667,0,1.25,0.0137698615,0.6748295016,0.2827500092,0,0.34004884,0.2294003492,0.3277636869,0,0.3277636869,2,Potentiel élevé,3,Cluster 3
43058,1109,984,12.703252033,43,0,1,18,10,26060,La Chapelle-d'Aurec,16.230838593,9.0171325518,0,0.9017132552,0.0062942975,0.236822675,0.1176735836,0,0.6471306471,0.4725703923,0.3020557737,0,0.3020557737,2,Potentiel élevé,4,Cluster 4
43078,3177,3145,1.0174880763,43,0,1,54,28,24440,Coubon,16.997167139,8.8133459238,0,0.3147623544,0.0182690971,0.2480041044,0.115014168,0,0.5482295482,0.310218891,0.2545966586,0,0.2545966586,1,Potentiel moyen,4,Cluster 4
43080,1986,2065,-3.82566586,43,2,4,102,45,20800,Craponne-sur-Arzon,51.359516616,22.658610272,1.0070493454,2.0140986908,0.0113725854,0.7493819892,0.2956948737,0.3769721172,0.326007326,0.2429324633,0.3477622033,0.3769721172,0.2166655492,0,Potentiel faible,1,Cluster 1
43084,1663,1751,-5.0256996,43,0,0,33,13,23410,Cussac-sur-Loire,19.843656043,7.8171978352,0,0,0.0095022467,0.2895369625,0.1020144351,0,0.4853479853,0.2262602731,0.2319085069,0,0.2319085069,1,Potentiel moyen,3,Cluster 3
43087,2631,2856,-7.878151261,43,2,4,76,33,21630,Dunières,28.886354998,12.542759407,0.7601672368,1.5203344736,0.0151074721,0.4214781523,0.1636830156,0.2845559197,0.3766788767,0.1866308735,0.2456054349,0.2845559197,0.1757169545,0,Potentiel faible,3,Cluster 3
43089,3547,3530,0.4815864023,43,0,1,54,29,22610,Espaly-Saint-Marcel,15.22413307,8.1759233155,0,0.2819283902,0.0204115903,0.2221339272,0.1066958027,0,0.4365079365,0.3027735548,0.2234764685,0,0.2234764685,1,Potentiel moyen,3,Cluster 3
43102,1122,1038,8.0924855491,43,0,1,24,14,22560,Grazac,21.390374332,12.47771836,0,0.8912655971,0.0063695743,0.312104987,0.1628342299,0,0.4334554335,0.4085125469,0.2721188922,0,0.2721188922,2,Potentiel élevé,3,Cluster 3
43112,3437,3754,-8.444326052,43,1,3,111,53,20720,Langeac,32.295606634,15.420424789,0.2909514111,0.8728542333,0.0197746329,0.4712222298,0.20123655,0.1089128055,0.3211233211,0.1787649498,0.2519236207,0.1089128055,0.2244859124,1,Potentiel moyen,3,Cluster 3
43113,1938,1935,0.1550387597,43,0,1,43,25,22730,Lantriac,22.187822497,12.899896801,0,0.515995872,0.0110946403,0.3237404799,0.1683436587,0,0.4438339438,0.2982367954,0.2568197447,0,0.2568197447,1,Potentiel moyen,3,Cluster 3
43114,1740,1704,2.1126760563,43,0,1,40,20,21610,Lapte,22.988505747,11.494252874,0,0.5747126437,0.0099481169,0.3354231757,0.1500000049,0,0.3754578755,0.3254344485,0.2485238828,0,0.2485238828,1,Potentiel moyen,3,Cluster 3
43115,1017,1011,0.5934718101,43,0,2,25,13,21260,Laussonne,24.582104228,12.782694199,0,1.9665683382,0.0057615695,0.3586752247,0.1668141647,0,0.3540903541,0.3043279901,0.2475269136,0,0.2475269136,1,Potentiel moyen,3,Cluster 3
43120,1307,1329,-1.655379985,43,0,1,33,22,20600,Lempdes-sur-Allagnon,25.248661056,16.832440704,0,0.7651109411,0.0074408209,0.3684008942,0.2196633583,0,0.3137973138,0.2730844646,0.2439142471,0,0.2439142471,1,Potentiel moyen,3,Cluster 3
43130,1112,1119,-0.625558534,43,0,3,29,18,20940,Mazet-Saint-Voy,26.079136691,16.18705036,0,2.6978417266,0.0063116691,0.3805182879,0.2112410141,0,0.3345543346,0.2873918782,0.2524673004,0,0.2524673004,1,Potentiel moyen,3,Cluster 3
43132,1434,1509,-4.970178926,43,0,0,20,9,22020,Mazeyrat-d'Allier,13.947001395,6.2761506276,0,0,0.0081762172,0.2034994162,0.0819037684,0,0.4004884005,0.2270316274,0.1902996683,0,0.1902996683,0,Potentiel faible,3,Cluster 3
43135,1762,1791,-1.619207147,43,1,3,58,38,21430,Le Monastier-sur-Gazeille,32.917139614,21.566401816,0.5675368899,1.7026106697,0.0100755084,0.4802909604,0.2814415528,0.2124479639,0.3644688645,0.2735870175,0.2919152511,0.2124479639,0.2298984504,1,Potentiel moyen,3,Cluster 3
43137,8925,8793,1.5011941317,43,7,11,287,70,24070,Monistrol-sur-Loire,32.156862745,7.8431372549,0.7843137255,1.2324929972,0.051553018,0.4691978305,0.1023529445,0.2935947548,0.5256410256,0.3169390682,0.3114790217,0.2935947548,0.2200304147,1,Potentiel moyen,3,Cluster 3
43141,1143,1257,-9.069212411,43,0,2,38,23,21430,Montfaucon-en-Velay,33.245844269,20.122484689,0,1.7497812773,0.0064911752,0.4850870599,0.2625984337,0,0.3644688645,0.1700833404,0.268870206,0,0.268870206,2,Potentiel élevé,3,Cluster 3
43152,2831,2830,0.035335689,43,0,1,57,25,25310,Polignac,20.134228188,8.8308018368,0,0.3532320735,0.0162655765,0.293776674,0.1152419677,0,0.6013431013,0.2965737485,0.2735669489,0,0.2735669489,2,Potentiel élevé,4,Cluster 4
43153,1876,2067,-9.24044509,43,0,1,52,19,22140,Pont-Salomon,27.718550107,10.12793177,0,0.5330490405,0.0107356279,0.4044388184,0.1321695139,0,0.4078144078,0.1677043875,0.2381860163,0,0.2381860163,1,Potentiel moyen,3,Cluster 3
43157,18629,18909,-1.48077635,43,0,0,245,20,20480,Le Puy-en-Velay,13.151537925,1.0735949326,0,0,0.1077442442,0.1918928818,0.0140104143,0,0.3064713065,0.2755102505,0.1880199428,0,0.1880199428,0,Potentiel faible,3,Cluster 3
43162,2977,2899,2.6905829596,43,0,0,0,0,21280,Retournac,0,0,0,0,0.0171109927,0,0,0,0.3553113553,0.3334633676,0.1411771431,0,0.1411771431,0,Potentiel faible,3,Cluster 3
43163,1184,1179,0.4240882103,43,0,0,0,0,22330,Riotord,0,0,0,0,0.0067285866,0,0,0,0.4194139194,0.3019747266,0.1456234465,0,0.1456234465,0,Potentiel faible,3,Cluster 3
43165,1523,1536,-0.846354167,43,0,0,0,0,21400,Rosières,0,0,0,0,0.0086915736,0,0,0,0.3626373626,0.2843243421,0.1311306557,0,0.1311306557,0,Potentiel faible,3,Cluster 3
43177,3480,3444,1.0452961672,43,0,0,0,0,23510,Saint-Didier-en-Velay,0,0,0,0,0.0200236253,0,0,0,0.4914529915,0.3106052317,0.1644163697,0,0.1644163697,0,Potentiel faible,3,Cluster 3
43184,2462,2438,0.9844134537,43,0,0,0,0,25340,Saint-Ferréol-d'Auroure,0,0,0,0,0.0141288739,0,0,0,0.6031746032,0.309759382,0.1854125718,0,0.1854125718,0,Potentiel faible,4,Cluster 4
43185,3253,3066,6.0991519896,43,0,0,0,0,20570,Sainte-Florine,0,0,0,0,0.0187091768,0,0,0,0.311965812,0.380818962,0.1422987902,0,0.1422987902,0,Potentiel faible,3,Cluster 3
43190,3528,3579,-1.424979044,43,0,0,0,0,24400,Saint-Germain-Laprade,0,0,0,0,0.0203015704,0,0,0,0.5457875458,0.2762854482,0.1684749129,0,0.1684749129,0,Potentiel faible,4,Cluster 4
43200,2017,1880,7.2872340426,43,0,0,0,0,22830,Saint-Julien-Chapteuil,0,0,0,0,0.0115520915,0,0,0,0.4499389499,0.3973251062,0.1717632295,0,0.1717632295,0,Potentiel faible,3,Cluster 3
43205,4217,4147,1.6879672052,43,0,0,0,0,23160,Saint-Just-Malmont,0,0,0,0,0.0242912401,0,0,0,0.4700854701,0.3195339254,0.1627821271,0,0.1627821271,0,Potentiel faible,3,Cluster 3
43211,2643,2561,3.2018742679,43,0,0,0,0,23160,Saint-Maurice-de-Lignon,0,0,0,0,0.0151769584,0,0,0,0.4700854701,0.3405667895,0.1651658436,0,0.1651658436,0,Potentiel faible,3,Cluster 3
43212,1002,1018,-1.571709234,43,0,0,0,0,22030,Saint-Pal-de-Chalencon,0,0,0,0,0.0056747116,0,0,0,0.4010989011,0.2742469108,0.1362041047,0,0.1362041047,0,Potentiel faible,3,Cluster 3
43213,2291,2272,0.8362676056,43,0,0,0,0,22700,Saint-Pal-de-Mons,0,0,0,0,0.0131386946,0,0,0,0.442002442,0.3077011767,0.1525684627,0,0.1525684627,0,Potentiel faible,3,Cluster 3
